Afghanistan	938
Albania	921
Algeria	930
Andorra	901
Angola	916
Argentina	924
Aruba	937
Australia	4990
Austria	937
Azerbaijan	913
Bahamas	937
Bahrain	937
Bangladesh	936
Barbados	929
Belarus	931
Belgium	920
Belize	930
Benin	927
Bermuda	923
Bhutan	936
Bolivia	930
Bosnia and Herzegovina	934
Botswana	937
Brazil	21499
Brunei	931
Bulgaria	937
Burkina Faso	913
Burundi	937
Cambodia	937
Cameroon	933
Canada	12699
Cape Verde	918
Central African Republic	930
Chad	929
Chile	929
China	29594
Colombia	937
Congo	926
Costa Rica	902
Cote d'Ivoire	925
Croatia	928
Cuba	923
Cyprus	923
Czech Republic	881
Democratic Republic of Congo	930
Denmark	920
Djibouti	932
Dominica	923
Dominican Republic	925
Ecuador	937
Egypt	936
El Salvador	937
Eritrea	937
Estonia	937
Eswatini	902
Ethiopia	930
Faeroe Islands	918
Fiji	930
Finland	920
France	901
Gabon	930
Gambia	923
Georgia	917
Germany	930
Ghana	930
Greece	936
Greenland	937
Grenada	87
Guam	899
Guatemala	934
Guinea	937
Guyana	937
Haiti	902
Honduras	937
Hong Kong	929
Hungary	927
Iceland	937
India	15467
Indonesia	934
Iran	917
Iraq	937
Ireland	933
Israel	937
Italy	931
Jamaica	924
Japan	937
Jordan	930
Kazakhstan	923
Kenya	937
Kiribati	916
Kosovo	923
Kuwait	930
Kyrgyz Republic	936
Laos	935
Latvia	936
Lebanon	916
Lesotho	909
Liberia	930
Libya	928
Liechtenstein	918
Lithuania	931
Luxembourg	937
Macao	933
Madagascar	926
Malawi	928
Malaysia	937
Mali	931
Malta	938
Mauritania	937
Mauritius	928
Mexico	923
Moldova	916
Monaco	919
Mongolia	916
Morocco	916
Mozambique	902
Myanmar	929
Namibia	916
Nepal	937
Netherlands	929
New Zealand	928
Nicaragua	930
Niger	936
Nigeria	923
Norway	929
Oman	938
Pakistan	923
Palestine	898
Panama	913
Papua New Guinea	931
Paraguay	938
Peru	937
Philippines	936
Poland	931
Portugal	930
Puerto Rico	929
Qatar	929
Romania	934
Russia	924
Rwanda	923
San Marino	937
Saudi Arabia	937
Senegal	937
Serbia	923
Seychelles	924
Sierra Leone	937
Singapore	935
Slovak Republic	901
Slovenia	901
Solomon Islands	935
Somalia	937
South Africa	937
South Korea	915
South Sudan	937
Spain	936
Sri Lanka	937
Sudan	918
Suriname	929
Sweden	929
Switzerland	936
Syria	923
Taiwan	919
Tajikistan	928
Tanzania	934
Thailand	937
Timor-Leste	928
Togo	936
Tonga	937
Trinidad and Tobago	936
Tunisia	937
Turkey	937
Turkmenistan	931
Uganda	936
Ukraine	916
United Arab Emirates	930
United Kingdom	4553
United States	48212
United States Virgin Islands	930
Uruguay	936
Uzbekistan	938
Vanuatu	923
Venezuela	937
Vietnam	922
Yemen	921
Zambia	921
Zimbabwe	920
countryname	1
